Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?
6HK > 214KK,Command Normal,800,1,214KK (air),1,0,0,0,1.2,1.2,960,960,1000,2500,Yes
5MP > 5LK target combo,Target Combo,600,1,> 5LK (5MP > 5LK target combo),1,0,0,0,1.2,1.2,720,720,500,1500,Yes
> 5LK (5MP > 5LK target combo),Target Combo,300,1,None,1,0,0,0,1.2,1.2,360,360,500,1000,No
5MP > 5LK > 5HK target combo,Target Combo,600,1,> 5LK (5MP > 5LK > 5HK target combo),1,0,0,0,1.2,1.2,720,720,500,1500,Yes
> 5LK (5MP > 5LK > 5HK target combo),Target Combo,300,1,> 5HK (5MP > 5LK > 5HK target combo),1,0,0,0,1.2,1.2,360,360,500,1000,No
> 5HK (5MP > 5LK > 5HK target combo),Target Combo,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1000,2500,No
5HP > 5HK target combo,Target Combo,800,1,> 5HK (5HP > 5HK target combo),1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
> 5HK (5HP > 5HK target combo),Target Combo,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2500,No
22P,Special,0,0,None,1,0,0,0,1.2,1.2,0,0,0,0,Yes
236LP,Special,600,1,None,1,0,0,0,1.2,1.2,720,720,600,1000,Yes
236MP,Special,600,1,None,1,0,0,0,1.2,1.2,720,720,600,1000,Yes
236HP,Special,600,1,None,1,0,0,0,1.2,1.2,720,720,600,1000,Yes
236P (denjin charge),Special,800,2,None,0.8,0,0,0,1.2,1.2,960,960,600,1000,Yes
623LP,Special,1100,1,None,0.7,0,0,0,1.2,1.2,1320,1320,1000,2000,Yes
623MP,Special,1200,1,None,0.7,0,0,0,1.2,1.2,1440,1440,1000,2000,Yes
623HP,Special,1400,1,None,0.7,0,0,0,1.2,1.2,1680,1680,1000,2000,Yes
214LK,Special,900,1,None,1,0,0,0,1.2,1.2,1080,1080,1200,3000,Yes
214MK,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1300,3500,Yes
214HK,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,2000,Yes
214K (air),Special,900,1,None,0.7,0,0,0,1.2,1.2,1080,1080,600,2000,Yes
236LK,Special,1100,1,None,1,0,0,0,1.2,1.2,1320,1320,1400,3000,Yes
236MK,Special,1200,1,None,1,0,0,0,1.2,1.2,1440,1440,1400,3500,Yes
236HK,Special,1300,1,None,1,0,0,0,1.2,1.2,1560,1560,1400,5000,Yes
214LP,Special,700,1,None,1,0,0,0,1.2,1.2,840,840,800,2000,Yes
214MP,Special,800,1,None,1,0,0,0,1.2,1.2,960,960,800,2000,Yes
214HP,Special,800,1,None,1,0,0,0,1.2,1.2,960,960,1100,2000,Yes
214P (denjin charge),Special,800,1,None,1,0,0,0,1.2,1.2,960,960,1100,2000,Yes
236PP,Overdrive,800,2,None,0.8,0,0,0,1.2,1.2,960,960,600,-20000,Yes
236PP (denjin charge),Overdrive,1000,2,None,0.8,0,0,0,1.2,1.2,1200,1200,900,-20000,Yes
623PP,Overdrive,1600,1,None,1,0,0,0,1.2,1.2,1920,1920,1000,-20000,Yes
214KK,Overdrive,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1000,-20000,Yes
214KK (air),Overdrive,1500,1,None,1,-0.15,0,0,1.2,1.2,1800,1800,600,-20000,Yes
236KK,Overdrive,800,1,None,1,-0.05,0,0,1.2,1.2,960,960,1200,-20000,Yes
214PP,Overdrive,1100,2,None,1,0,0,0,1.2,1.2,1320,1320,900,-20000,Yes
214PP (denjin charge),Overdrive,800,1,None,1,0,0,0,1.2,1.2,960,960,1100,-20000,Yes
SA1,Super,2000,1,None,1,0,0,0.3,1.2,1.2,2400,2400,-10000,0,Yes
SA1 (denjin charge),Super,2400,1,None,1,0,0,0.3,1.2,1.2,2880,2880,-10000,0,Yes
SA2,Super,2800,1,None,1,0,0,0.4,1.2,1.2,3360,3360,-20000,0,Yes
SA2 (charge lv2),Super,2900,1,None,1,0,0,0.4,1.2,1.2,3480,3480,-20000,0,Yes
SA2 (charge lv2),Super,3000,1,None,1,0,0,0.4,1.2,1.2,3600,3600,-20000,0,Yes
SA2 (denjin charge),Super,3200,1,None,1,0,0,0.4,1.2,1.2,3840,3840,-20000,0,Yes
SA2 (denjin charge) (charge lv2),Super,3300,1,None,1,0,0,0.4,1.2,1.2,3960,3960,-20000,0,Yes
SA2 (denjin charge) (charge lv3),Super,3400,1,None,1,0,0,0.4,1.2,1.2,4080,4080,-20000,0,Yes
SA3,Super,4000,1,None,1,0,0,0.5,1.2,1.2,4800,4800,-30000,0,Yes
CA,Super,4500,1,None,1,0,0,0.5,1.2,1.2,5400,5400,-30000,0,Yes
SA3 (non-cinematic),Super,3600,1,None,1,0,0,0.5,1.2,1.2,4320,4320,-30000,0,Yes
CA (non-cinematic),Super,4400,1,None,1,0,0,0.5,1.2,1.2,5280,5280,-30000,0,Yes
Raw Drive Impact,Drive,800,1,None,0.8,0,0,0,1.2,1.2,960,960,0,-10000,Yes
Punish Drive Impact,Drive,800,1,None,0.8,0,0,0,1.2,1.2,960,960,3000,-10000,Yes
Drive Impact Wall Splat,Drive,800,1,None,0.8,0,0,0,1.2,1.2,960,960,0,-10000,Yes
Drive Impact Wall Splat (blocked),Drive,0,0,None,1,0,0,0,1.2,1.2,0,0,0,-10000,Yes
Drive Rush Cancel,Drive,0,0,None,1,0,0,0,1.2,1.2,0,0,0,-30000,Yes
Drive Rush,Drive,0,0,None,1,0,0,0,1.2,1.2,0,0,0,-10000,Yes
2 Frame Microwalk,Drive,0,0,None,1,0,0,0,1.2,1.2,0,0,0,60,Yes
