Move,Move type,Damage,Counts as (hits),Next hit,Scaling route,Next move scaling,Immediate scaling,Min scaling,Counter multiplier,Punish multiplier,Counter Hit,Punish Counter,Super gain,Drive gain,Visible?
8 or 9PP,Special,800,1,None,1,0,0,0,1.2,1.2,960,960,1000,2000,Yes
8 or 9PP Enhanced,Special,1000,1,None,1,0,0,0,1.2,1.2,1200,1200,1100,3000,Yes
4268LP,Special,2000,1,None,1,0,0.1,0,1,1.15,2000,2300,3000,5000,Yes
4268MP,Special,2400,1,None,1,0,0.1,0,1,1.15,2400,2760,3000,5000,Yes
4268HP,Special,2800,1,None,1,0,0.1,0,1,1.15,2800,3220,3000,5000,Yes
214PP,Overdrive,1200,1,None,1,0,0,0,1.2,1.2,1440,1440,1000,-20000,Yes
236KK,Overdrive,1000,2,None,0.8,0,0,0,1.2,1.2,1200,1200,1000,-20000,Yes
236KK Enhanced,Overdrive,1200,2,None,0.8,0,0,0,1.2,1.2,1440,1440,1100,-20000,Yes
623PP,Overdrive,1400,2,None,0.8,0,0,0,1.2,1.2,1680,1680,1000,-20000,Yes
623PP Enhanced,Overdrive,1600,2,None,0.8,0,0,0,1.2,1.2,1920,1920,1100,-20000,Yes
8 or 9PPP,Overdrive,1400,1,None,1,0,0.1,0,1.2,1.2,1680,1680,1000,-20000,Yes
8 or 9PPP Enhanced,Overdrive,1600,1,None,1,0,0.1,0,1.2,1.2,1920,1920,1100,-20000,Yes
4268PP,Overdrive,2900,1,None,1,0,0.1,0,1,1.15,2900,3335,3000,-20000,Yes
SA1,Super,2200,1,None,1,0,0,0.3,1.2,1.2,2640,2640,-10000,0,Yes
SA1 (whiff 1st 2 hits),Super,1840,1,None,1,0,0,0.3,1.2,1.2,2208,2208,-10000,0,Yes
SA2,Super,2600,1,None,1,0,0,0.4,1.2,1.2,3120,3120,-20000,0,Yes
SA2 Enhanced,Super,2900,1,None,1,0,0,0.4,1.2,1.2,3480,3480,-20000,0,Yes
SA2 (air),Super,2600,1,None,1,0,0,0.4,1.2,1.2,3120,3120,-20000,0,Yes
SA2 Enhanced (air),Super,2900,1,None,1,0,0,0.4,1.2,1.2,3480,3480,-20000,0,Yes
SA3,Super,4500,1,None,1,0,0,0.5,1.2,1.2,5400,5400,-30000,0,Yes
CA,Super,5000,1,None,1,0,0,0.5,1.2,1.2,6000,6000,-30000,0,Yes
Raw Drive Impact,Drive,800,1,None,0.8,0,0,0,1.2,1.2,960,960,0,-10000,Yes
Punish Drive Impact,Drive,800,1,None,0.8,0,0,0,1.2,1.2,960,960,3000,-10000,Yes
Drive Impact Wall Splat,Drive,800,1,None,0.8,0,0,0,1.2,1.2,960,960,0,-10000,Yes
Drive Impact Wall Splat (blocked),Drive,0,0,None,1,0,0,0,1.2,1.2,0,0,0,-10000,Yes
Drive Rush Cancel,Drive,0,0,None,1,0,0,0,1.2,1.2,0,0,0,-30000,Yes
Drive Rush,Drive,0,0,None,1,0,0,0,1.2,1.2,0,0,0,-10000,Yes
2 Frame Microwalk,Drive,0,0,None,1,0,0,0,1.2,1.2,0,0,0,60,Yes
